browser,date_watched,video_title,video_url
chrome,2024-03-02,SAB DRAMA EK SATH HOGA ABHI | YEH SAAL PURA SUSPRISES SE BHARA HAI - YouTube,https://www.youtube.com/watch?v=Zq5MswSk8EU
chrome,2024-03-02,Bill Gates in India: Microsoft founder gets candid with IIT Delhi students in a rapid fire chat - YouTube,https://www.youtube.com/watch?v=O9Pukw8_uy8
chrome,2024-03-02,TRIPREPORT | AIR INDIA | Airbus A350 | Bangalore-Mumbai Flight Vlog - YouTube,https://www.youtube.com/watch?v=aAJZaKmo5e0
chrome,2024-03-02,Arrival of the Halıcıoğlu Data Science Institute - YouTube,https://www.youtube.com/watch?v=dHu1CSADOZQ
chrome,2024-03-02,Year One Successes: Halıcıoğlu Data Science Institute - YouTube,https://www.youtube.com/watch?v=37mhPOq6bwY
chrome,2024-03-02,Welcome to UC San Diego - YouTube,https://www.youtube.com/watch?v=uKaYzDPRvY0
chrome,2024-03-01,Nifty Prediction and Bank Nifty Analysis for Saturday | 2 March 24 | Bank Nifty Tomorrow - YouTube,https://www.youtube.com/watch?v=NaRQqEG1rVw&t=509s
chrome,2024-03-01,Mercedes' Secret Weapons REVEALED | F1 TV Tech Talk | Crypto.com - YouTube,https://www.youtube.com/watch?v=UCJzmMFXd2U&t=20s
chrome,2024-02-28,My Leg Pain Got Very Serious | Surgery or 1 Year therapy - YouTube,https://www.youtube.com/watch?v=k6MESE6IUfw&t=146
chrome,2024-02-28,BIG SCAM Going on in DUBAI - YouTube,https://www.youtube.com/watch?v=Nl-phvdaHIM
chrome,2024-02-25,'Republican party unified': Trump says in SC victory speech | NewsNation Prime - YouTube,https://www.youtube.com/watch?v=g7UYShKyjDI
chrome,2024-02-22,AIB Knockout The Roast of Arjun Kapoor and Ranveer Singh Part 3 - YouTube,https://www.youtube.com/watch?v=Ml-Vi7R2_y0&t=66
chrome,2024-02-22,AIB Knockout Ft. Arjun Kapoor And Ranveer Singh - YouTube,https://www.youtube.com/watch?v=kJw8_8jHAaU
chrome,2024-02-22,JOHNNY SINS REACTS TO MEMES - YouTube,https://www.youtube.com/watch?v=DdJlnV0a5rg
chrome,2024-02-22,The BIGGEST Danger to India | Chandigarh Elections | Farmers Protest | Dhruv Rathee - YouTube,https://www.youtube.com/watch?v=Y9253_M38Xk
chrome,2024-02-22,AIB : Alia Bhatt - Genius of the Year - YouTube,https://www.youtube.com/watch?v=pfHxl46KyZM
chrome,2024-02-22,"Stanford CS25: V1 I Transformers United: DL Models that have revolutionized NLP, CV, RL - YouTube",https://www.youtube.com/watch?v=P127jhj-8-Y&list=PLoROMvodv4rNiJRchCzutFw5ItR_Z27CM&t=1341s
chrome,2024-02-22,"Stanford CS25: V1 I Transformers United: DL Models that have revolutionized NLP, CV, RL - YouTube",https://www.youtube.com/watch?list=PLoROMvodv4rNiJRchCzutFw5ItR_Z27CM&time_continue=1341&v=P127jhj-8-Y&embeds_referring_euri=https%3A%2F%2Fwww.kdnuggets.com%2F&source_ve_path=MTM5MTE3LDIzODUx&feature=emb_title
chrome,2024-02-19,Maryland from Above | UMD - YouTube,https://www.youtube.com/watch?v=wdm6h5g2OWg
chrome,2024-02-19,University of Maryland Campus Tour - YouTube,https://www.youtube.com/watch?v=qT4nQ_ZKtEs
chrome,2024-02-19,"University of Maryland, College Park, USA - YouTube",https://www.youtube.com/watch?v=eFgCxLWQnkc
chrome,2024-02-19,University of Maryland | COMPLETE GUIDE ON HOW TO GET IN UMaryland | College Admission |College vlog - YouTube,https://www.youtube.com/watch?v=2RIHh6inc4g
